;ID;Fecha;Planta;Energia;Limitacion_MW;TiempoLimitacion_Hrs;1;2;3;4;5;6;7;8;9;10;11;12
122;12751;20/01/07;Cohessa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
123;12752;20/01/07;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
124;12753;20/01/07;Choluteca 2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
125;12754;20/01/07;Choluteca 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
126;12755;20/01/07;Enerbasa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
127;12756;20/01/07;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
128;12757;20/01/07;Nacaome 2;1899;2035;93;;1;0;0;0;0;0;0;0;0;0;0
129;12758;20/01/07;Nacaome 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
130;12759;20/01/07;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
131;12760;20/01/07;Helios;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
132;12761;20/01/07;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
133;12762;20/01/07;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
134;12763;20/01/07;Mecer;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
135;12764;20/01/07;Marcovia;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
136;12765;20/01/07;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
137;12766;20/01/07;Prados Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
138;12767;20/01/07;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
139;12768;20/01/07;Soposa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
140;12769;20/01/08;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
141;12770;20/01/08;Cinco Estrellas;1717;2020;85;;0;0;0;0;0;0;1;0;0;0;0
142;12771;20/01/08;Cohessa;2290;2290;100;;0;0;0;0;0;0;0;1;0;0;0
143;12772;20/01/08;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
144;12773;20/01/08;Choluteca 2;963;1070;90;;0;0;0;0;0;0;0;1;0;0;0
145;12774;20/01/08;Choluteca 1;216;220;98;;0;0;0;0;0;0;0;1;0;0;0
146;12775;20/01/08;Enerbasa;798;870;92;;0;0;0;0;0;0;0;1;0;0;0
147;12776;20/01/08;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
148;12777;20/01/08;Nacaome 2;1991;2060;97;;0;0;0;0;0;0;0;1;0;0;0
149;12778;20/01/08;Nacaome 1;1449;1850;78;;0;0;0;0;0;0;0;1;0;0;0
150;12779;20/01/08;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
151;12780;20/01/08;Helios;2068;1037;202;;0;0;0;0;0;0;1;1;0;0;0
152;12781;20/01/08;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
153;12782;20/01/08;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
154;12783;20/01/08;Mecer;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
155;12784;20/01/08;Marcovia;1400;1500;93;;0;0;0;0;0;0;0;1;0;0;0
156;12785;20/01/08;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
157;12786;20/01/08;Prados Sur;1249;1270;98;;0;0;0;0;0;0;0;1;0;0;0
158;12787;20/01/08;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
159;12788;20/01/08;Soposa;1917;2500;77;;0;0;0;0;0;0;0;1;0;0;0
160;12789;20/01/09;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
161;12790;20/01/09;Cinco Estrellas;2664;2620;102;;1;0;0;0;0;0;0;0;0;0;0
162;12791;20/01/09;Cohessa;0;0;82;;0;0;0;0;0;0;0;1;0;0;0
163;12792;20/01/09;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
164;12793;20/01/09;Choluteca 2;1986;1037;192;;1;0;0;0;0;0;0;1;0;0;0
165;12794;20/01/09;Choluteca 1;321;370;87;;0;0;0;0;0;0;0;1;0;0;0
166;12795;20/01/09;Enerbasa;682;870;78;;0;0;0;0;0;0;0;1;0;0;0
167;12796;20/01/09;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
168;12797;20/01/09;Nacaome 2;1950;1950;100;;1;0;0;0;0;0;0;0;0;0;0
169;12798;20/01/09;Nacaome 1;1846;2090;88;;0;0;0;0;0;0;0;1;0;0;0
170;12799;20/01/09;Fotersa;1392;702;198;;1;0;0;0;0;0;0;1;0;0;0
171;12800;20/01/09;Helios;932;948;98;;1;0;0;0;0;0;0;0;0;0;0
172;12801;20/01/09;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
173;12802;20/01/09;Llanos del Sur;441;490;90;;0;0;0;0;0;0;0;1;0;0;0
174;12803;20/01/09;Mecer;974;990;98;;0;0;0;0;0;0;0;1;0;0;0
175;12804;20/01/09;Marcovia;2522;1378;183;;1;0;0;0;0;0;0;1;0;0;0
176;12805;20/01/09;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
177;12806;20/01/09;Prados Sur;938;970;97;;0;0;0;0;0;0;0;1;0;0;0
178;12807;20/01/09;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
179;12808;20/01/09;Soposa;3022;1530;198;;1;0;0;0;0;0;0;1;0;0;0
180;12809;20/01/10;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
181;12810;20/01/10;Cinco Estrellas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
182;12811;20/01/10;Cohessa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
183;12812;20/01/10;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
184;12813;20/01/10;Choluteca 2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
185;12814;20/01/10;Choluteca 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
186;12815;20/01/10;Enerbasa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
187;12816;20/01/10;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
188;12817;20/01/10;Nacaome 2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
189;12818;20/01/10;Nacaome 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
190;12819;20/01/10;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
191;12820;20/01/10;Helios;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
192;12821;20/01/10;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
193;12822;20/01/10;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
194;12823;20/01/10;Mecer;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
195;12824;20/01/10;Marcovia;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
196;12825;20/01/10;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
197;12826;20/01/10;Prados Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
198;12827;20/01/10;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
199;12828;20/01/10;Soposa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
200;12829;20/01/11;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
201;12830;20/01/11;Cinco Estrellas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
202;12831;20/01/11;Cohessa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
203;12832;20/01/11;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
204;12833;20/01/11;Choluteca 2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
205;12834;20/01/11;Choluteca 1;417;500;83;;1;0;0;0;0;0;0;0;0;0;0
206;12835;20/01/11;Enerbasa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
207;12836;20/01/11;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
208;12837;20/01/11;Nacaome 2;725;870;83;;1;0;0;0;0;0;0;0;0;0;0
209;12838;20/01/11;Nacaome 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
210;12839;20/01/11;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
211;12840;20/01/11;Helios;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
212;12841;20/01/11;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
213;12842;20/01/11;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
214;12843;20/01/11;Mecer;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
215;12844;20/01/11;Marcovia;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
216;12845;20/01/11;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
217;12846;20/01/11;Prados Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
218;12847;20/01/11;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
219;12848;20/01/11;Soposa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
220;12849;20/01/12;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
221;12850;20/01/12;Cinco Estrellas;2095;2130;98;;1;0;0;0;0;0;0;0;0;0;0
222;12851;20/01/12;Cohessa;2250;3000;75;;1;0;0;0;0;0;0;0;0;0;0
223;12852;20/01/12;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
224;12853;20/01/12;Choluteca 2;921;1063;87;;1;0;0;0;0;0;0;0;0;0;0
225;12854;20/01/12;Choluteca 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
226;12855;20/01/12;Enerbasa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
227;12856;20/01/12;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
228;12857;20/01/12;Nacaome 2;1330;1596;83;;1;0;0;0;0;0;0;0;0;0;0
229;12858;20/01/12;Nacaome 1;1683;1905;88;;1;0;0;0;0;0;0;0;0;0;0
230;12859;20/01/12;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
231;12860;20/01/12;Helios;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
232;12861;20/01/12;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
233;12862;20/01/12;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
234;12863;20/01/12;Mecer;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
235;12864;20/01/12;Marcovia;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
236;12865;20/01/12;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
237;12866;20/01/12;Prados Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
238;12867;20/01/12;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
239;12868;20/01/12;Soposa;3100;3000;103;;1;0;0;0;0;0;0;0;0;0;0
240;12869;20/01/13;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
241;12870;20/01/13;Cinco Estrellas;1216;1520;80;;1;0;0;0;0;0;0;0;0;0;0
242;12871;20/01/13;Cohessa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
243;12872;20/01/13;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
